Date,Time,Open,High,Low,Close,Volume,Class - Next Close,Class - Price UP,Class Pips Change,Class 10 Pip change,Class 25 pip change
2017.01.16,4:45,1.06204,1.06245,1.06203,1.06215,1527,1.06179,FALSE,-3.6,ranging,ranging
2017.01.16,5:00,1.06214,1.06229,1.06152,1.06179,1746,1.0616,FALSE,-1.9,ranging,ranging
2017.01.16,5:15,1.0618,1.06194,1.06146,1.0616,1107,1.06076,FALSE,-8.4,ranging,ranging
2017.01.16,5:30,1.06161,1.06195,1.06062,1.06076,1975,1.06107,TRUE,3.1,ranging,ranging
2017.01.16,5:45,1.06076,1.06107,1.06065,1.06107,1011,1.06067,FALSE,-4,ranging,ranging
2017.01.16,6:00,1.06107,1.06107,1.06048,1.06067,1153,1.06122,TRUE,5.5,ranging,ranging
2017.01.16,6:15,1.06068,1.06122,1.06068,1.06122,1167,1.06066,FALSE,-5.6,ranging,ranging
2017.01.16,6:30,1.06122,1.06126,1.06055,1.06066,1574,1.0615,TRUE,8.4,ranging,ranging
2017.01.16,6:45,1.06068,1.0615,1.06066,1.0615,1779,1.06166,TRUE,1.6,ranging,ranging
2017.01.16,7:00,1.0615,1.06182,1.06111,1.06166,2067,1.06177,TRUE,1.1,ranging,ranging
2017.01.16,7:15,1.06165,1.06204,1.0615,1.06177,2575,1.06186,TRUE,0.9,ranging,ranging
2017.01.16,7:30,1.06178,1.06198,1.0616,1.06186,1544,1.06206,TRUE,2,ranging,ranging
2017.01.16,7:45,1.06186,1.06225,1.06165,1.06206,2227,1.06234,TRUE,2.8,ranging,ranging
2017.01.16,8:00,1.06207,1.06261,1.0618,1.06234,2586,1.06195,FALSE,-3.9,ranging,ranging
2017.01.16,8:15,1.06235,1.06276,1.06192,1.06195,1504,1.06262,TRUE,6.7,ranging,ranging
2017.01.16,8:30,1.06195,1.06294,1.06194,1.06262,1645,1.06179,FALSE,-8.3,ranging,ranging
2017.01.16,8:45,1.06263,1.06274,1.06171,1.06179,1235,1.06083,FALSE,-9.6,ranging,ranging
2017.01.16,9:00,1.06179,1.06223,1.06072,1.06083,2505,1.06068,FALSE,-1.5,ranging,ranging
2017.01.16,9:15,1.06084,1.06146,1.06057,1.06068,1811,1.0609,TRUE,2.2,ranging,ranging
2017.01.16,9:30,1.06069,1.06096,1.06042,1.0609,1766,1.06135,TRUE,4.5,ranging,ranging
2017.01.16,9:45,1.0609,1.06161,1.06061,1.06135,2243,1.05919,FALSE,-21.6,-10Pips,ranging
2017.01.16,10:00,1.06136,1.06173,1.05892,1.05919,5216,1.05979,TRUE,6,ranging,ranging
2017.01.16,10:15,1.0592,1.06017,1.05896,1.05979,3793,1.05934,FALSE,-4.5,ranging,ranging
2017.01.16,10:30,1.05979,1.06051,1.0591,1.05934,2676,1.05827,FALSE,-10.7,-10Pips,ranging
2017.01.16,10:45,1.05933,1.06015,1.05794,1.05827,5066,1.05896,TRUE,6.9,ranging,ranging
2017.01.16,11:00,1.05827,1.05915,1.05823,1.05896,3880,1.05811,FALSE,-8.5,ranging,ranging
2017.01.16,11:15,1.05895,1.05895,1.05802,1.05811,3596,1.05963,TRUE,15.2,+10Pips,ranging
2017.01.16,11:30,1.0581,1.05979,1.05807,1.05963,4486,1.05898,FALSE,-6.5,ranging,ranging
2017.01.16,11:45,1.05964,1.05966,1.05873,1.05898,2801,1.05917,TRUE,1.9,ranging,ranging
2017.01.16,12:00,1.05895,1.05955,1.05832,1.05917,3694,1.0594,TRUE,2.3,ranging,ranging
2017.01.16,12:15,1.05917,1.05948,1.05891,1.0594,2318,1.05874,FALSE,-6.6,ranging,ranging
2017.01.16,12:30,1.0594,1.05949,1.0583,1.05874,2433,1.05859,FALSE,-1.5,ranging,ranging
2017.01.16,12:45,1.05874,1.05897,1.05844,1.05859,1984,1.05949,TRUE,9,ranging,ranging
2017.01.16,13:00,1.05859,1.05955,1.05789,1.05949,2686,1.05935,FALSE,-1.4,ranging,ranging
2017.01.16,13:15,1.05947,1.05979,1.05883,1.05935,2278,1.05925,FALSE,-1,ranging,ranging
2017.01.16,13:30,1.05934,1.05943,1.05853,1.05925,2539,1.05936,TRUE,1.1,ranging,ranging
2017.01.16,13:45,1.05925,1.05959,1.05898,1.05936,1951,1.05942,TRUE,0.6,ranging,ranging
2017.01.16,14:00,1.05937,1.05985,1.05913,1.05942,2115,1.05914,FALSE,-2.8,ranging,ranging
2017.01.16,14:15,1.05941,1.05947,1.05888,1.05914,1869,1.05889,FALSE,-2.5,ranging,ranging
2017.01.16,14:30,1.05913,1.05938,1.05873,1.05889,1814,1.05905,TRUE,1.6,ranging,ranging
2017.01.16,14:45,1.0589,1.05939,1.05853,1.05905,2442,1.05929,TRUE,2.4,ranging,ranging
2017.01.16,15:00,1.05905,1.05951,1.05898,1.05929,1786,1.05982,TRUE,5.3,ranging,ranging
2017.01.16,15:15,1.0593,1.06011,1.05929,1.05982,1916,1.05974,FALSE,-0.8,ranging,ranging
2017.01.16,15:30,1.05982,1.0599,1.05945,1.05974,1482,1.05924,FALSE,-5,ranging,ranging
2017.01.16,15:45,1.05974,1.05975,1.059,1.05924,1251,1.05953,TRUE,2.9,ranging,ranging
2017.01.16,16:00,1.05925,1.05965,1.05894,1.05953,1887,1.06014,TRUE,6.1,ranging,ranging
2017.01.16,16:15,1.05953,1.0603,1.0595,1.06014,1950,1.0604,TRUE,2.6,ranging,ranging
2017.01.16,16:30,1.06015,1.06085,1.06004,1.0604,1998,1.06064,TRUE,2.4,ranging,ranging
2017.01.16,16:45,1.06041,1.06075,1.06023,1.06064,1536,1.06019,FALSE,-4.5,ranging,ranging
2017.01.16,17:00,1.06064,1.06077,1.05958,1.06019,1891,1.0607,TRUE,5.1,ranging,ranging
2017.01.16,17:15,1.06019,1.06073,1.05989,1.0607,1470,1.06026,FALSE,-4.4,ranging,ranging
2017.01.16,17:30,1.06069,1.06082,1.06006,1.06026,1221,1.06057,TRUE,3.1,ranging,ranging
2017.01.16,17:45,1.06027,1.06064,1.05924,1.06057,2359,1.05949,FALSE,-10.8,-10Pips,ranging
2017.01.16,18:00,1.06059,1.06083,1.05933,1.05949,2142,1.06002,TRUE,5.3,ranging,ranging
2017.01.16,18:15,1.05949,1.06012,1.05906,1.06002,1527,1.05945,FALSE,-5.7,ranging,ranging
2017.01.16,18:30,1.06003,1.06037,1.05943,1.05945,1260,1.06,TRUE,5.5,ranging,ranging
2017.01.16,18:45,1.05946,1.0601,1.05935,1.06,1293,1.06045,TRUE,4.5,ranging,ranging
2017.01.16,19:00,1.06,1.06083,1.05975,1.06045,1063,1.06047,TRUE,0.2,ranging,ranging
2017.01.16,19:15,1.06041,1.06066,1.06021,1.06047,640,1.06035,FALSE,-1.2,ranging,ranging
2017.01.16,19:30,1.06048,1.06048,1.06014,1.06035,356,1.06043,TRUE,0.8,ranging,ranging
2017.01.16,19:45,1.06034,1.06048,1.06006,1.06043,807,1.06029,FALSE,-1.4,ranging,ranging
2017.01.16,20:00,1.06042,1.0605,1.06027,1.06029,433,1.06012,FALSE,-1.7,ranging,ranging
2017.01.16,20:15,1.0603,1.06032,1.06008,1.06012,242,1.06012,FALSE,0,ranging,ranging
2017.01.16,20:30,1.06012,1.06017,1.06008,1.06012,665,1.0599,FALSE,-2.2,ranging,ranging
2017.01.16,20:45,1.06011,1.06029,1.05968,1.0599,2236,1.0601,TRUE,2,ranging,ranging
2017.01.16,21:00,1.05989,1.0603,1.05975,1.0601,1789,1.06029,TRUE,1.9,ranging,ranging
2017.01.16,21:15,1.06011,1.06033,1.06008,1.06029,588,1.06046,TRUE,1.7,ranging,ranging
2017.01.16,21:30,1.06029,1.06047,1.06023,1.06046,850,1.06024,FALSE,-2.2,ranging,ranging
2017.01.16,21:45,1.06045,1.06048,1.05999,1.06024,1321,1.06017,FALSE,-0.7,ranging,ranging
2017.01.16,22:00,1.06024,1.06045,1.06012,1.06017,1450,1.05979,FALSE,-3.8,ranging,ranging
2017.01.16,22:15,1.06018,1.06032,1.05958,1.05979,1560,1.05992,TRUE,1.3,ranging,ranging
2017.01.16,22:30,1.05972,1.06023,1.05963,1.05992,1399,1.05988,FALSE,-0.4,ranging,ranging
2017.01.16,22:45,1.05991,1.06044,1.05979,1.05988,1529,1.06012,TRUE,2.4,ranging,ranging
2017.01.16,23:00,1.05987,1.06041,1.05979,1.06012,2331,1.06014,TRUE,0.2,ranging,ranging
2017.01.16,23:15,1.06013,1.0603,1.05986,1.06014,1748,1.06005,FALSE,-0.9,ranging,ranging
2017.01.16,23:30,1.06009,1.06025,1.06003,1.06005,6052,1.05998,FALSE,-0.7,ranging,ranging
2017.01.16,23:45,1.06006,1.06031,1.05981,1.05998,3963,1.0602,TRUE,2.2,ranging,ranging
2017.01.17,0:00,1.06003,1.06024,1.05984,1.0602,184,1.06023,TRUE,0.3,ranging,ranging
2017.01.17,0:15,1.0602,1.0603,1.05994,1.06023,208,1.05973,FALSE,-5,ranging,ranging
2017.01.17,0:30,1.06022,1.06037,1.05973,1.05973,456,1.05983,TRUE,1,ranging,ranging
2017.01.17,0:45,1.05975,1.05992,1.05974,1.05983,359,1.06022,TRUE,3.9,ranging,ranging
2017.01.17,1:00,1.05983,1.06043,1.05982,1.06022,2118,1.06018,FALSE,-0.4,ranging,ranging
2017.01.17,1:15,1.06022,1.06026,1.06011,1.06018,337,1.0602,TRUE,0.2,ranging,ranging
2017.01.17,1:30,1.06017,1.06023,1.05979,1.0602,627,1.06021,TRUE,0.1,ranging,ranging
2017.01.17,1:45,1.0602,1.06074,1.05997,1.06021,1951,1.06076,TRUE,5.5,ranging,ranging
2017.01.17,2:00,1.0602,1.06082,1.0602,1.06076,1786,1.06121,TRUE,4.5,ranging,ranging
2017.01.17,2:15,1.06076,1.06188,1.06044,1.06121,2142,1.06087,FALSE,-3.4,ranging,ranging
2017.01.17,2:30,1.06122,1.06173,1.06084,1.06087,1650,1.0606,FALSE,-2.7,ranging,ranging
2017.01.17,2:45,1.06087,1.06099,1.06029,1.0606,1512,1.06065,TRUE,0.5,ranging,ranging
2017.01.17,3:00,1.0606,1.06106,1.06034,1.06065,1421,1.06018,FALSE,-4.7,ranging,ranging
2017.01.17,3:15,1.06066,1.06106,1.06017,1.06018,1468,1.06017,FALSE,-0.1,ranging,ranging
2017.01.17,3:30,1.06018,1.06058,1.06009,1.06017,1624,1.06024,TRUE,0.7,ranging,ranging
2017.01.17,3:45,1.06017,1.06059,1.06007,1.06024,1869,1.06058,TRUE,3.4,ranging,ranging
2017.01.17,4:00,1.06024,1.06063,1.06022,1.06058,1367,1.06114,TRUE,5.6,ranging,ranging
2017.01.17,4:15,1.06057,1.0612,1.06042,1.06114,1412,1.0616,TRUE,4.6,ranging,ranging
2017.01.17,4:30,1.06115,1.06169,1.06092,1.0616,1630,1.06201,TRUE,4.1,ranging,ranging
2017.01.17,4:45,1.0616,1.06212,1.06149,1.06201,1924,1.06153,FALSE,-4.8,ranging,ranging
2017.01.17,5:00,1.06202,1.06202,1.06143,1.06153,1398,1.06232,TRUE,7.9,ranging,ranging
2017.01.17,5:15,1.06153,1.06252,1.0615,1.06232,1585,1.06264,TRUE,3.2,ranging,ranging
2017.01.17,5:30,1.06233,1.06302,1.06233,1.06264,1972,1.06243,FALSE,-2.1,ranging,ranging
2017.01.17,5:45,1.06263,1.06274,1.06232,1.06243,1386,1.06351,TRUE,10.8,+10Pips,ranging
2017.01.17,6:00,1.06243,1.06373,1.06225,1.06351,1664,1.06348,FALSE,-0.3,ranging,ranging
2017.01.17,6:15,1.06351,1.06404,1.06336,1.06348,2254,1.0642,TRUE,7.2,ranging,ranging
2017.01.17,6:30,1.06348,1.06429,1.06322,1.0642,2549,1.06399,FALSE,-2.1,ranging,ranging
2017.01.17,6:45,1.06421,1.06433,1.06393,1.06399,1684,1.06464,TRUE,6.5,ranging,ranging
2017.01.17,7:00,1.06399,1.06478,1.06399,1.06464,1755,1.06475,TRUE,1.1,ranging,ranging
2017.01.17,7:15,1.06462,1.06493,1.06441,1.06475,2279,1.06479,TRUE,0.4,ranging,ranging
2017.01.17,7:30,1.06474,1.06527,1.06459,1.06479,2249,1.06573,TRUE,9.4,ranging,ranging
2017.01.17,7:45,1.06479,1.06591,1.06418,1.06573,3243,1.06573,FALSE,0,ranging,ranging
2017.01.17,8:00,1.06572,1.06653,1.06528,1.06573,4777,1.06537,FALSE,-3.6,ranging,ranging
