Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_10,Pos_Rel_To_MA_20,5_Period_Trend,10_Period_Trend,CandleStick_Pattern,Class_10_pips
2017.01.10,15:00,1.05688,1.05767,1.05586,1.05747,4870,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.10,16:00,1.05746,1.06048,1.05695,1.05953,6615,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,17:00,1.05954,1.06024,1.05713,1.05934,6896,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.10,18:00,1.05934,1.05982,1.05681,1.05719,5981,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.10,19:00,1.05719,1.05752,1.05509,1.05611,3693,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.10,20:00,1.05608,1.05645,1.05561,1.05586,2381,BELOW,BELOW,DOWNTREND,RANGING,NONE,RANGING
2017.01.10,21:00,1.05587,1.05632,1.05552,1.05581,2305,BELOW,BELOW,DOWNTREND,RANGING,NONE,RANGING
2017.01.10,22:00,1.05581,1.05623,1.05561,1.05618,1262,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.10,23:00,1.05618,1.05618,1.05537,1.05544,1450,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,0:00,1.05527,1.05604,1.05527,1.05559,1411,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,1:00,1.05557,1.0556,1.05508,1.05521,1441,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.11,2:00,1.0552,1.05632,1.05513,1.05578,2780,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,3:00,1.05577,1.05658,1.05495,1.05581,3527,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,4:00,1.05581,1.05607,1.05426,1.05463,3573,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,5:00,1.05461,1.05501,1.05361,1.05455,3649,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,6:00,1.05455,1.05506,1.05406,1.05503,3292,BELOW,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,7:00,1.05502,1.05526,1.05457,1.05496,2427,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.11,8:00,1.055,1.05668,1.055,1.05625,2798,ABOVE,BELOW,RANGING,RANGING,NONE,RANGING
2017.01.11,9:00,1.05624,1.05634,1.0553,1.05583,3458,ABOVE,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,10:00,1.05582,1.05595,1.05461,1.05578,4391,ABOVE,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,11:00,1.05579,1.05587,1.05303,1.05352,4066,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,12:00,1.05354,1.05361,1.05156,1.05223,3909,BELOW,BELOW,DOWNTREND,RANGING,NONE,RANGING
2017.01.11,13:00,1.05222,1.0525,1.05134,1.0519,3358,BELOW,BELOW,DOWNTREND,RANGING,NONE,-10pips
2017.01.11,14:00,1.0519,1.05207,1.04999,1.05018,4532,BELOW,BELOW,DOWNTREND,RANGING,NONE,+10pips
2017.01.11,15:00,1.05019,1.05155,1.0494,1.05132,5299,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,16:00,1.05131,1.05158,1.04779,1.04809,6861,BELOW,BELOW,RANGING,RANGING,NONE,-10pips
2017.01.11,17:00,1.04812,1.04821,1.04537,1.04741,8797,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.11,18:00,1.04743,1.05409,1.04583,1.0499,15130,BELOW,BELOW,RANGING,RANGING,NONE,+10pips
2017.01.11,19:00,1.04991,1.05728,1.04728,1.05584,14852,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.11,20:00,1.05584,1.06228,1.05544,1.06036,16023,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.11,21:00,1.06036,1.06142,1.05705,1.05767,8316,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.11,22:00,1.05766,1.05779,1.05642,1.0573,3849,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.11,23:00,1.05729,1.05848,1.05729,1.05827,1348,ABOVE,ABOVE,RANGING,RANGING,NONE,RANGING
2017.01.12,0:00,1.05809,1.0584,1.05767,1.05831,1907,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
2017.01.12,1:00,1.05841,1.05989,1.05775,1.0594,2407,ABOVE,ABOVE,RANGING,RANGING,NONE,-10pips
2017.01.12,2:00,1.05943,1.05972,1.05714,1.05817,5918,ABOVE,ABOVE,RANGING,RANGING,NONE,+10pips
