Date,Time,Open,High,Low,Close,Volume,Pos_Rel_To_MA_20,Pos_Rel_To_MA_50,Pos_Rel_To_MA_100,Class_10_pips
2017.03.09,08:00,1.05324,1.05341,1.05314,1.05317,894,BELOW,BELOW,BELOW,RANGING
2017.03.09,08:00,1.05318,1.05339,1.05310,1.05336,994,BELOW,BELOW,BELOW,RANGING
2017.03.09,08:00,1.05335,1.05369,1.05331,1.05368,710,ABOVE,BELOW,BELOW,RANGING
2017.03.09,08:00,1.05369,1.05438,1.05358,1.05369,1244,ABOVE,BELOW,BELOW,RANGING
2017.03.09,09:00,1.05369,1.05433,1.05350,1.05411,1692,ABOVE,ABOVE,BELOW,-10pips
2017.03.09,09:00,1.05410,1.05415,1.05264,1.05270,1514,BELOW,BELOW,BELOW,RANGING
2017.03.09,09:00,1.05269,1.05367,1.05252,1.05342,1543,ABOVE,BELOW,BELOW,RANGING
2017.03.09,09:00,1.05341,1.05364,1.05315,1.05348,1375,ABOVE,BELOW,BELOW,+10pips
2017.03.09,10:00,1.05347,1.05518,1.05330,1.05479,1908,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,10:00,1.05478,1.05518,1.05435,1.05493,1670,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,10:00,1.05491,1.05506,1.05461,1.05485,1303,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,10:00,1.05485,1.05629,1.05454,1.05568,1667,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,11:00,1.05569,1.05614,1.05510,1.05598,1740,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,11:00,1.05600,1.05600,1.05478,1.05551,1441,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,11:00,1.05552,1.05698,1.05523,1.05632,1952,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,11:00,1.05634,1.05647,1.05584,1.05589,1078,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,12:00,1.05588,1.05621,1.05550,1.05603,1491,ABOVE,ABOVE,ABOVE,RANGING
2017.03.09,12:00,1.05604,1.05639,1.05586,1.05608,1274,ABOVE,ABOVE,ABOVE,RANGING
